Biology	生物学
Botany	植物学
Entomology	昆虫学
Microbiology	微生物学
Paleontology	古生物学
Immunology	免疫学
Zoology	动物学
Ornithology	鸟类学
Marine	biology	海洋生物学
Genetics	遗传学
Speciology	物种学
Parasitology	寄生虫学
Botany	植物学
Geography	地理学
Geology	地质学
Seismology	地震学
Chemistry	化学
Biochemistry	生物化学
Economics	经济学
Archeology	考古学
Agriculture	农学
Meteorology	气象学
Anthropology	人类学
Sociology	社会学
Ethics	伦理学
Mathematics	数学
Statistics	统计学
Calculus	几何学
Astronomy	天文学
Astrology	占星学
Astrophysics	天体物理学
Zoology	动物学
Linguistics	语言学
Aesthetics	美学
Physics	物理学
Thermodynamics	热力学
Electricity	电学
Electronics	电子学
Magnetism	电磁学
Dynamics	动力学
Mechanics	力学
Optics	光学
Electromagnetism	电磁学
Medicine	医学
Anatomy	解剖学
Nutrition	营养学
Phonetics	语音学
Politics	政治学
Philosophy	哲学
Literature	文学
History	历史学
Finance	财政学
Jurisprudence	法学
Theology	神学
Logics	逻辑学
Musicology	音乐学
Comparative literature 	比较文学
Geology 	地质学
Stratigraphy 	地层学
Seismology 	地震学
Geonomy 	地球学
Astrology 	星相学
Meteorology 	气象学
Physics 	物理学
Heat 	热学
Optics	光学
Mechanics 	力学
Acoustics 	声学
Magnetism 	磁学
Inorganic chemistry 	无机化学
Biochemistry 	生物化学
Organic chemistry 	有机化学
Analytical chemistry 	分析化学
Archaeology 	考古学
Anthropology 	人类学
Architecture 	建筑学
